City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Kruisfontein,ZA,2021-08-06 17:39:S,-34.0033,24.7314,53.89,90,54,4.05
143,Kologriv,RU,2021-08-06 17:39:S,58.8275,44.3178,55.44,95,100,5.95
144,Auchi,NG,2021-08-06 17:39:S,7.0667,6.2667,73.89,89,100,2.91
145,Pacific Grove,US,2021-08-06 17:39:S,36.6177,-121.9166,80.15,93,90,3.0
146,Gwadar,PK,2021-08-06 17:39:S,25.1216,62.3254,81.43,84,21,4.61
147,Madera,US,2021-08-06 17:36:S,37.1666,-119.8343,96.98,24,0,3.0
148,Tura,IN,2021-08-06 17:39:S,25.5198,90.2201,75.31,96,84,6.91
149,Maxixe,MZ,2021-08-06 17:39:S,-23.8597,35.3472,71.42,83,20,7.9
150,Tautira,PF,2021-08-06 17:39:S,-17.7333,-149.15,77.02,72,9,7.27
151,Bethel,US,2021-08-06 17:39:S,41.3712,-73.414,88.9,50,1,6.91
152,Port Alfred,ZA,2021-08-06 17:39:S,-33.5906,26.891,59.05,81,16,8.41
153,Shizunai,JP,2021-08-06 17:39:S,42.3339,142.3669,72.99,89,2,8.3
154,Klaksvik,FO,2021-08-06 17:39:S,62.2266,-6.589,61.72,98,99,12.93
155,Pandamatenga,BW,2021-08-06 17:39:S,-18.5278,25.627,64.42,25,0,2.35
156,Vila Franca Do Campo,PT,2021-08-06 17:39:S,37.7167,-25.4333,75.61,71,14,13.18
157,Severo-Kurilsk,RU,2021-08-06 17:39:S,50.6789,156.125,52.7,80,96,9.64
158,Kiama,AU,2021-08-06 17:39:S,-34.6833,150.8667,50.25,70,0,7.0
159,Bella Union,UY,2021-08-06 17:39:S,-30.2752,-57.6007,76.01,50,11,11.95
160,Cabedelo,BR,2021-08-06 17:39:S,-6.9811,-34.8339,84.87,67,48,19.01
161,Bambous Virieux,MU,2021-08-06 17:39:S,-20.3428,57.7575,68.25,83,75,11.5
162,Half Moon Bay,US,2021-08-06 17:39:S,37.4636,-122.4286,83.05,72,1,0.0
163,Bobon,PH,2021-08-06 17:39:S,12.5246,124.5636,82.49,80,84,11.36
164,Yangambi,CD,2021-08-06 17:39:S,0.8102,24.4336,75.13,76,88,3.98
165,Tabou,CI,2021-08-06 17:39:S,4.423,-7.3528,78.21,73,49,10.16
166,Saint-Philippe,RE,2021-08-06 17:39:S,-21.3585,55.7679,65.79,83,69,13.31
167,Nicoya,CR,2021-08-06 17:39:S,10.1483,-85.452,83.75,72,64,3.67
