City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Najran,SA,17.4924,44.1277,93.85,19,67,13.91,broken clouds
268,Kurumkan,RU,54.3,110.3,72.73,57,100,4.99,light rain
269,Bocaiuva,BR,-17.1078,-43.815,57.69,81,100,9.01,overcast clouds
270,Saint-Philippe,RE,-21.3585,55.7679,76.59,67,27,11.21,scattered clouds
271,Norman Wells,CA,65.282,-126.8329,46.44,81,90,13.8,overcast clouds
272,Aklavik,CA,68.2191,-135.0107,40.03,82,100,9.57,overcast clouds
273,Urengoy,RU,65.9667,78.3667,79.65,37,3,6.64,clear sky
274,Nome,US,64.5011,-165.4064,46.47,87,90,11.5,light rain
275,Sola,VU,-13.8833,167.55,78.62,77,33,17.2,scattered clouds
276,Avarua,CK,-21.2078,-159.775,77.05,78,20,12.66,few clouds
277,Asau,RO,46.4333,26.4,74.39,53,0,2.19,clear sky
278,Bessonovka,RU,53.3097,45.0407,82.24,33,9,8.39,clear sky
279,Hasaki,JP,35.7333,140.8333,82.8,83,100,8.79,moderate rain
280,Lichtenburg,ZA,-26.152,26.1597,63.9,14,0,6.71,clear sky
281,Sembakung,ID,3.8167,117.25,89.53,48,78,2.91,broken clouds
282,Talnakh,RU,69.4865,88.3972,82.04,38,68,11.16,broken clouds
283,Port Augusta,AU,-32.5,137.7667,58.71,67,1,9.26,clear sky
284,Fort Nelson,CA,58.8053,-122.7002,56.79,94,90,12.66,moderate rain
285,Smithers,CA,54.7804,-127.1743,53.92,76,75,2.3,broken clouds
286,Kunya,NG,12.2233,8.5325,77.16,78,0,11.5,clear sky
287,Chokurdakh,RU,70.6333,147.9167,62.1,58,39,9.13,scattered clouds
288,Mendoza,AR,-32.8908,-68.8272,54.93,41,0,13.8,clear sky
289,Dubrovnik,HR,42.6481,18.0922,89.64,54,0,6.91,clear sky
290,Wajima,JP,37.4,136.9,84.88,89,75,3.44,broken clouds
291,Clearlake,US,38.9582,-122.6264,66.34,63,0,3.11,clear sky
